Movie_Title,Year,Score,Adjusted_Score,Director,Cast,Synopsis,Cnsensus
The Fugitive,1993,96,101.933,Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore", This 1993 box-office smash partly adheres to the 1960s TV series on which it is based and partly goes off...,"Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best."
Black Panther,2018,97,119.301,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira"," ""Black Panther"" follows T'Challa who, after the events of ""Captain America: Civil War,"" returns home to the isolated, technologically advanced...",Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.
Inception,2010,87,97.936,Christopher Nolan,"Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard"," Visionary filmmaker Christopher Nolan (Memento, The Dark Knight) writes and directs this psychological sci-fi action film about a thief who...","Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually."
Braveheart,1995,77,81.942,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack"," Mel Gibson, long-time heartthrob of the silver screen, came into his own as a director with Braveheart, an account of...","Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition."
Minority Report,2002,90,97.346,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow"," Based on a short story by the late Philip K. Dick, this science fiction-thriller reflects the writer's familiar preoccupation with...","Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller."
Avengers: Endgame,2019,94,117.365,"Joe Russo, Anthony Russo","Robert Downey Jr., Mark Ruffalo, Scarlett Johansson, Chris Evans", The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers...,"Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga."
Dredd,2012,79,84.563,Pete Travis,"Karl Urban, Olivia Thirlby, Wood Harris, Lena Headey"," The future America is an irradiated waste land. On its East Coast, running from Boston to Washington DC, lies Mega...","Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit."
The Bourne Identity,2002,83,88.285,Doug Liman,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen"," The best-selling suspense novel by late author Robert Ludlum comes to the screen for a second time, following a 1988...","Expertly blending genre formula with bursts of unexpected wit, The Bourne Identity is an action thriller that delivers -- and then some."
Ip Man,2010,85,77.821,Wilson Yip,"Donnie Yen, Hiroyuki Ikeuchi, Simon Yam, Xiong Dailin"," Wing Chun grandmaster Ip has an amazing wife, plenty of money, the most beautiful house in town, and a blossoming...","At once beholden to the established conventions of the genre and delightfully subversive of them, Ip Man is one of the most exciting -- and refreshingly character-driven -- martial arts films in years."
Face/Off,1997,92,97.199,John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola"," The third of John Woo's American-made feature films, Face/Off stars John Travolta as Sean Archer, an FBI agent obsessed with...","John Travolta and Nicolas Cage play cat-and-mouse (and literally play each other) against a beautifully stylized backdrop of typically elegant, over-the-top John Woo violence."
To Live and Die in L.A.,1985,91,92.946,"William Friedkin, William Freidkin","William L. Petersen, Willem Dafoe, John Pankow, Debra Feuer"," William Friedkin's crime thriller, based on a book by U.S. Secret Service agent Gerald Petievich, concerns an arrogant Secret Service...","With coke fiends, car chases, and Wang Chung galore, To Live and Die in L.A. is perhaps the ultimate '80s action/thriller."
The Dark Knight,2008,94,107.214,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Maggie Gyllenhaal"," Christopher Nolan steps back into the director's chair for this sequel to Batman Begins, which finds the titular superhero coming...","Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga."
Mission: Impossible Ghost Protocol,2011,93,100.563,Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton", This is not just another mission. The IMF is shut down when it's implicated in a global terrorist bombing plot....,"Stylish, fast-paced, and loaded with gripping set pieces, the fourth Mission: Impossible is big-budget popcorn entertainment that really works."
Fast Five,2011,77,82.955,Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Dwayne Johnson", Former cop Brian O'Conner (Paul Walker) partners with ex-con Dom Toretto (Vin Diesel) on the opposite side of the law....,"Sleek, loud, and over the top, Fast Five proudly embraces its brainless action thrills and injects new life into the franchise."
